epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.7695,0,107.052,0,0,0,0,0,3.0504,3.97975,3.47392,9.78622e-05,9.78622e-05,9.78622e-05
2,151.866,0,63.015,0,0,0,0,0,2.92523,4.42276,3.32684,0.000186167,0.000186167,0.000186167
3,248.002,0,23.1238,0,0,0,0,0,4.50357,5.08775,4.25532,0.00026477,0.00026477,0.00026477
4,345.956,0,6.18813,0,0,0,0,0,4.70143,5.8128,4.86918,0.000250341,0.000250341,0.000250341
5,446.406,0,1.08129,0,0,0,0,0,4.73486,6.59044,4.80954,0.000235788,0.000235788,0.000235788
6,545.398,0,0.11005,0,0,0,0,0,4.67427,7.36491,4.66577,0.000221235,0.000221235,0.000221235
7,643.155,0,0.00042,0,0,0,0,0,4.68843,7.76486,4.62396,0.000206682,0.000206682,0.000206682
8,741.673,0,0,0,0,0,0,0,4.70566,8.00411,4.58638,0.000192129,0.000192129,0.000192129
9,841.222,0,0,0,0,0,0,0,4.75117,8.16008,4.63709,0.000177576,0.000177576,0.000177576
10,916.934,0,0,0,0,0,0,0,4.75431,8.38317,4.92364,0.000163023,0.000163023,0.000163023
11,1022.54,0,0,0,0,0,0,0,4.71863,8.41236,5.04043,0.00014847,0.00014847,0.00014847
12,1084.71,0,0,0,0,0,0,0,4.09339,10.5457,5.52461,0.000133917,0.000133917,0.000133917
13,1146.69,0,0,0,0,0,0,0,3.88465,8.56187,4.87424,0.000119364,0.000119364,0.000119364
14,1220.73,0,0,0,0,0,0,0,3.57538,9.56641,4.5226,0.000104811,0.000104811,0.000104811
15,1316.04,0,0,0,0,0,0,0,3.5658,9.24744,4.36131,9.0258e-05,9.0258e-05,9.0258e-05
16,1413.94,0,0,0,0,0,0,0,4.28331,9.48242,4.15424,7.5705e-05,7.5705e-05,7.5705e-05
17,1503.07,0,0,0,0,0,0,0,4.76217,11.4794,4.97689,6.1152e-05,6.1152e-05,6.1152e-05
18,1598.98,0,0,0,0,0,0,0,4.59176,59.237,5.4217,4.6599e-05,4.6599e-05,4.6599e-05
19,1695.66,0,0,0,0,0,0,0,0,32.8984,0,3.2046e-05,3.2046e-05,3.2046e-05
20,1792.54,0,0,0,0,0,0,0,0,14.7031,0,1.7493e-05,1.7493e-05,1.7493e-05
